ID,User_Name,First_Name,Last_Name,Email,Organization,Location_City,Location_Country,DateOfBirth,DateOfJoining,TrustRating
U-23,rishabnahar2025,Estrella,Tullius,rishabnahar2025@iiitd.ac.in,Dongying Experimental Middle School,Hailun,China,19-01-1986,16-05-2005,100
U-24,mennafadali,Stacey,Winebarger,mennafadali@gmail.com,FTU,Berane,Montenegro,03-03-2001,24-02-2018,100
U-25,mathking1021,Seok Hyeon,Jung,mathking1021@gmail.com,Gyeonggi Science High School,Chico,United States,19-01-1985,31-12-2014,100
U-26,MGod,Hua Zhi,Vee,MGod@iitd.ac.in,ZS Fanclub,Altenerding,Germany,08-02-2003,28-10-2018,100
U-27,Svapnil007,Swapnil,Sawant,Svapnil007@hotmail.com,COLLEGE OF ENGINEERING PUNE,Petersfield,United Kingdom,08-07-1987,04-05-2017,100
U-28,Time_Rune,Kayce,Messinger,Time_Rune@iitd.ac.in,FTU,Nitra,Slovakia,25-10-2001,30-08-2017,100
U-29,Mr_Programmer_98,Abdulmassih,Saba,Mr_Programmer_98@iitd.ac.in,HIAST,Ermoupoli,Greece,25-10-2003,18-11-2020,100
U-30,wangziyue111,Alethea,Baugh,wangziyue111@iitd.ac.in,Zhoushan Senior-High,Oak Hills,United States,14-02-1982,23-09-2009,100
U-31,mehhh,Vivienne,Cordero,mehhh@hotmail.com,Dongying Experimental Middle School,Bukachacha,Russia,08-05-1986,21-07-2010,100
U-32,LYC_music,Abdul,Gallardo,LYC_music@hotmail.com,Pontificia Universidad Católica de Chile,Moss Bluff,United States,19-07-1988,03-05-2006,100
U-33,YahiaSherif,Faustina,Beck,YahiaSherif@iitd.ac.in,German University in Cairo,Gulf Shores,United States,19-06-2004,15-10-2018,100
U-34,oreo816,Oma,Tomasini,oreo816@iitd.ac.in,Dongying Experimental Middle School,Grande Prairie,Canada,02-08-2003,05-08-2016,100
U-35,Pharaoh1,Noriko,Mosher,Pharaoh1@iiitd.ac.in,Dongying Experimental Middle School,East Rockaway,United States,23-05-2002,17-04-2020,100
U-36,hotavn.com,Nguyen,Son,hotavn.com@gmail.com,HotaVN,Kearney,United States,18-11-1985,10-01-2009,100
U-37,ermolmak,Maxim,Ermolaev,ermolmak@iitd.ac.in,Moscow IPT,Lutsk,Ukraine,02-11-1980,15-08-1994,100
U-38,MherKing,Latrina,Hearon,MherKing@hotmail.com,Rajshahi University of Engineering and Technology,Takahama,Japan,19-11-1995,02-01-2014,100
U-39,ssp_2000,Ammie,Priestly,ssp_2000@yahoo.com,FTU,Barnstable,United States,29-03-1982,01-07-2019,100
U-40,noob1918,Shavon,Jonason,noob1918@gmail.com,Zhoushan Senior-High,Nitra,Slovakia,20-08-1990,15-01-2005,100
U-41,kedos123,Lissette,Fischetti,kedos123@gmail.com,IIT Roorkee,Wibsey,United Kingdom,01-08-2004,14-05-2020,100
U-42,atulraghuwanshi,Oren,Moree,atulraghuwanshi@yahoo.com,FTU,Petropavlovsk-Kamchatskiy,Russia,10-06-1994,18-06-2011,100
U-43,Khater,Cyndy,Beeler,Khater@yahoo.com,German University in Cairo,Ushtobe,Kazakhstan,10-04-1985,15-04-2014,100
U-44,damirych,Stacey,Winebarger,damirych@hotmail.com,Pontificia Universidad Católica de Chile,Guixi,China,14-10-1992,06-03-2014,100
U-45,AW_Flister,Aryasakti,Wirasena,AW_Flister@gmail.com,Universitas Gadjah Mada,Ghajnsielem,Malta,02-05-2000,05-10-2014,100
U-46,pulkit1411,Stacey,Winebarger,pulkit1411@iitd.ac.in,Rajshahi University of Engineering and Technology,Elk Plain,United States,07-04-1987,19-08-2008,100
U-47,yinwuxx,Maricruz,Lena,yinwuxx@yahoo.com,Wuhan University of Science and Technology,Wandsworth,United Kingdom,08-09-1985,16-04-2003,100
U-48,BALAKRUSHNA_DASH,Gerri,Sova,BALAKRUSHNA_DASH@gmail.com,IIT Kharagpur,Worland,United States,02-08-2004,04-06-2019,100
U-49,Kira_1234,Kaustubh,Miglani,Kira_1234@iiitd.ac.in,Indian Institute of Technology Madras,Ancud,Chile,25-06-1985,24-10-2008,100
U-50,Aryabhatt24,Ammie,Priestly,Aryabhatt24@iitd.ac.in,Rajshahi University of Engineering and Technology,Ancud,Chile,12-09-1985,22-08-2016,100
U-51,EagleEyeKestrel,Becki,Sherron,EagleEyeKestrel@gmail.com,HIAST,Altenburg,Germany,13-06-1992,28-01-2014,100
U-52,rheallyc,Althea,Clinger,rheallyc@yahoo.com,cxaphoenix fan club,Crissier,Switzerland,26-07-2001,03-02-2017,100
U-53,smilingface,Leonore,Cupples,smilingface@hotmail.com,Dalian University,Todos Santos,Mexico,27-04-2003,02-06-2020,100
U-54,mikeleven,Mose,Jobst,mikeleven@iiitd.ac.in,"BITS, Pilani",Maina,Guam,05-06-2003,18-09-2018,100
U-55,_Hain_,Marchelle,Benites,_Hain_@gmail.com,Dongying Experimental Middle School,Berane,Montenegro,10-05-2002,08-09-2015,100
U-56,vvdog,Lanora,Miera,vvdog@iiitd.ac.in,Sanxin Bilingual School,Salem,India,09-10-1982,28-02-2002,100
U-57,gomdori,Larita,Heatley,gomdori@iiitd.ac.in,Zhoushan Senior-High,South Elgin,United States,04-12-1989,27-02-2003,100
U-58,The__Beast,Kelsie,Devereux,The__Beast@iiitd.ac.in,IIT Delhi,Lutsk,Ukraine,20-05-1980,18-08-1995,100
U-59,2020gangbazi,Saul,Evangelista,2020gangbazi@yahoo.com,Jilin University,Hallandale Beach,United States,23-01-1986,31-12-2016,100
U-60,huangxiaodick,Elidia,Stolp,huangxiaodick@iiitd.ac.in,Harbin Engineering University,Ferlach,Austria,09-04-1985,25-10-2004,100
U-61,Qzy___,Sharyl,Urbano,Qzy___@yahoo.com,FTU,Readington,United States,02-08-2003,30-07-2018,100
U-62,ShmilyTY,tianyi,zhou,ShmilyTY@hotmail.com,Nanjing Foreign Language School,Gunnison,United States,04-12-1988,18-02-2003,100
U-63,cop,Erkam,Uysal,cop@yahoo.com,Anti-FOSS,Geiselhoring,Germany,02-10-1999,30-11-2018,100
U-64,justys,Tan Y,Huynh,justys@hotmail.com,Danang University of Science and Technology,Ashton in Makerfield,United Kingdom,21-01-1984,14-03-2012,100
U-65,lucky_21,Lokesh,Singh,lucky_21@hotmail.com,"Netaji Subhas Institute of Technology, Delhi",Pereira Barreto,Brazil,10-08-1997,08-03-2015,100
U-66,SooTooN,Abdul,Gallardo,SooTooN@gmail.com,Anti-FOSS,Pili,Philippines,14-09-1994,25-10-2018,100
U-67,EvenX_v3,Faustina,Beck,EvenX_v3@yahoo.com,IIT BHU Varanasi,Ushtobe,Kazakhstan,03-02-1996,12-02-2011,100
U-68,tapir1729,Marchelle,Benites,tapir1729@hotmail.com,Gyeonggi Science High School,Phayao,Thailand,02-12-2002,05-12-2017,100
U-69,lukameladze1,Vivienne,Cordero,lukameladze1@gmail.com,cxaphoenix fan club,Barnstable,United States,02-04-1999,08-05-2014,100
U-70,cocopalm,Yvone,Esparza,cocopalm@gmail.com,Sanxin Bilingual School,Espoo,Finland,18-03-1987,16-01-2001,100
U-71,djnner,Stacey,Winebarger,djnner@hotmail.com,Pontificia Universidad Católica de Chile,Edwards,United States,07-12-1990,01-09-2012,100
U-72,F1aMiR3,Kelin,Ye,F1aMiR3@yahoo.com,Mr_Wu fan club,Janakpur,Nepal,02-10-1996,13-12-2017,100
U-73,ChainsawWakaka,Ammie,Priestly,ChainsawWakaka@hotmail.com,Zhoushan Senior-High,Vila Pouca de Aguiar,Portugal,05-01-1996,30-07-2013,100
U-74,nhphucqt,Nguyen Hoang,Phuc,nhphucqt@hotmail.com,THPT Chuyên Lê Quý Đôn,Bothell East,United States,24-07-1982,16-03-2006,100
U-75,qwerasdfzxcl,Sanghoon,Park,qwerasdfzxcl@yahoo.com,Seoul Science HS,Elk Plain,United States,20-06-1984,29-08-1999,100
U-76,XDEv11,Leonore,Cupples,XDEv11@yahoo.com,National Cheng Kung U,Havelock,United States,13-01-1993,30-09-2018,100
U-77,Tiago_Marques,Verdell,Losada,Tiago_Marques@iiitd.ac.in,Zhoushan Senior-High,Ferlach,Austria,07-10-1991,07-04-2017,100
U-78,EJOI_Gold,Oma,Tomasini,EJOI_Gold@hotmail.com,Zhoushan Senior-High,Lutsk,Ukraine,30-11-2002,28-03-2017,100
U-79,Basilhijaz,Basil,Hijaz,Basilhijaz@gmail.com,Sanxin Bilingual School,Nitra,Slovakia,14-05-1986,24-03-2003,100
U-80,zxx,Verdell,Losada,zxx@iitd.ac.in,HUS High School for Gifted Student,Nitra,Slovakia,25-01-1981,19-06-2007,100
U-81,guapisolo,JiaJun,Li,guapisolo@gmail.com,UESTC,Wandsworth,United Kingdom,22-09-2000,26-11-2018,100
U-82,2020akadaver,Yvone,Esparza,2020akadaver@gmail.com,UC Berkeley,Altenerding,Germany,08-08-2001,23-12-2020,100
U-83,xwd654,Oma,Tomasini,xwd654@yahoo.com,Indian Institute of Technology Madras,Dera Ismail Khan,Pakistan,27-02-2001,06-03-2017,100
U-84,emak,Tiffanie,Wain,emak@gmail.com,ZS Fanclub,Yaxley,United Kingdom,05-03-1980,16-04-2005,100
U-85,jli505,Joe,Li,jli505@iitd.ac.in,USACO,Seesen,Germany,15-05-1981,25-11-2019,100
U-86,lulzz,Mohammad,Ghani,lulzz@yahoo.com,ZS Fanclub,Kirkcaldy,United Kingdom,17-12-2000,14-11-2017,100
U-87,cym_,Herma,Baltes,cym_@hotmail.com,ABV-IIITM Gwalior,Plumtree,Zimbabwe,01-01-1985,16-08-2017,100
U-88,1509,Lissette,Fischetti,1509@gmail.com,Sanxin Bilingual School,Altenerding,Germany,08-08-1986,24-08-2002,100
U-89,cdamezcua,Noriko,Mosher,cdamezcua@gmail.com,FTU,Des Moines,United States,03-04-1986,01-03-2010,100
U-90,JvJv,Kayce,Messinger,JvJv@gmail.com,National Cheng Kung U,Chang'an,China,11-09-1997,18-01-2011,100
U-91,shuba400,Shubhang,Singh,shuba400@hotmail.com,IIIT - Allahabad,Dolni Chiflik,Bulgaria,17-09-1992,06-11-2006,100
U-92,Priyansh31dec,Priyansh,Agarwal,Priyansh31dec@iiitd.ac.in,IIIT Delhi,Upper Nazareth,United States,09-06-2001,04-11-2019,100
U-93,et3_tsy,Verdell,Losada,et3_tsy@iiitd.ac.in,Xidian University,Rodach,Germany,10-11-1992,29-08-2012,100
U-94,misra_17,Romona,Fowler,misra_17@iiitd.ac.in,Rajshahi University of Engineering and Technology,East Rockaway,United States,07-11-2001,16-10-2016,100
U-95,Alcyter,Kayce,Messinger,Alcyter@yahoo.com,Sanxin Bilingual School,South Elgin,United States,01-11-1987,28-04-2016,100
U-96,yuji9511,Yuji,Sugiyama,yuji9511@yahoo.com,The University of Tokyo,Pokrov,Ukraine,22-08-1993,08-03-2016,100
U-97,nmnmnmnmnmnmnm,Ji,Rothrock,nmnmnmnmnmnmnm@iitd.ac.in,HUS High School for Gifted Student,Duartina,Brazil,27-08-1984,03-06-2015,100
U-98,index.js,Latrina,Hearon,index.js@yahoo.com,German University in Cairo,Tiksi,Russia,30-09-1980,21-08-1998,100
U-99,VictorW,Saul,Evangelista,VictorW@gmail.com,Qingdao No.2 Middle School,Ferlach,Austria,06-01-2003,15-10-2020,100
U-100,yinuowang,Vivienne,Cordero,yinuowang@yahoo.com,University of Waterloo,Pokrov,Ukraine,25-09-1994,27-11-2016,100
U-101,rappel,Herma,Baltes,rappel@yahoo.com,Sanxin Bilingual School,Worland,United States,13-11-1988,06-07-2015,100
U-102,yycdxp,Yicheng,Yang,yycdxp@iitd.ac.in,HSEFZ,Fengcheng,China,04-05-1997,23-11-2018,100
U-103,whywhy666,Stacey,Winebarger,whywhy666@iitd.ac.in,Dongying Experimental Middle School,Salem,India,27-02-1982,29-02-2012,100
U-104,nacl_jht,HaiTing,JIANG,nacl_jht@hotmail.com,National Cheng Kung U,Grove City,United States,27-01-1990,13-12-2005,100
U-105,2uoidub,Leonore,Cupples,2uoidub@gmail.com,National Cheng Kung U,Lucas Valley-Marinwood,United States,06-07-1992,15-04-2020,100
U-106,fragusbot,Jae,Trundy,fragusbot@iiitd.ac.in,Gyeonggi Science High School,South Elgin,United States,22-11-1988,21-03-2013,100
U-107,gs20098,Jae,Trundy,gs20098@iitd.ac.in,Pontificia Universidad Católica de Chile,Magelang,Indonesia,01-03-1987,27-05-2015,100
U-108,moarvivek,Vivek,Moar,moarvivek@hotmail.com,IIT Mandi,Bothell East,United States,11-09-1986,02-08-2001,100
U-109,Lorenzo_Ferrari,Lorenzo,Ferrari,Lorenzo_Ferrari@gmail.com,LS Galileo Galilei Trento,Cadereyta Jimenez,Mexico,29-07-2003,07-11-2017,100
U-110,_Wallace_61430,Kelsie,Devereux,_Wallace_61430@gmail.com,IIT Roorkee,Adet,Ethiopia,05-04-1986,20-10-2020,100
U-111,Garrus,Shavon,Jonason,Garrus@gmail.com,IIT Roorkee,Des Moines,United States,16-08-1990,22-11-2013,100
U-112,lokesh58,Lokesh,Patel,lokesh58@gmail.com,FTU,Segezha,Russia,04-08-1980,11-01-1998,100
U-113,PhantoM__,Althea,Clinger,PhantoM__@iiitd.ac.in,Beijing Institute of Technology,Painesville,United States,16-12-1986,07-08-2017,100
U-114,QinfendeDD,Shalanda,Tally,QinfendeDD@hotmail.com,Dongying Experimental Middle School,Kearney,United States,14-11-1990,14-05-2008,100
U-115,Fuzen527,Carmina,Carlock,Fuzen527@iiitd.ac.in,"Pui Ching Middle School, Hong Kong",Granada,Nicaragua,12-07-2000,09-11-2018,100
U-116,AoLiGei,Leonore,Cupples,AoLiGei@gmail.com,ZS Fanclub,Cibitoke,Burundi,07-02-2002,03-07-2016,100
U-117,kocko,Konstantin,Yovkov,kocko@iiitd.ac.in,cxaphoenix fan club,Ghajnsielem,Malta,04-07-1990,14-08-2017,100
U-118,codelegend,Anurudh,Peduri,codelegend@gmail.com,IIIT Hyderabad,Ermoupoli,Greece,21-11-2001,26-09-2020,100
U-119,Erfan,Mohamad Erfan,Salimi,Erfan@iitd.ac.in,AE high school,Upper Nazareth,United States,15-05-1983,16-11-2013,100
U-120,ntdung,Tiffanie,Wain,ntdung@yahoo.com,Sanxin Bilingual School,Plumtree,Zimbabwe,30-01-1998,29-01-2018,100
U-121,d.a.l.i.p,Marcos,Spencer,d.a.l.i.p@iiitd.ac.in,Pontificia Universidad Católica de Chile,Dera Ismail Khan,Pakistan,16-03-1986,16-08-2001,100
U-122,higro,Alethea,Baugh,higro@iitd.ac.in,cxaphoenix fan club,Worland,United States,24-06-1998,10-08-2016,100
U-123,ADOHAHA,Yvone,Esparza,ADOHAHA@hotmail.com,Hangzhou Dianzi U,Edwards,United States,12-02-1982,23-06-1997,100
U-124,H_Zoro,Elidia,Stolp,H_Zoro@hotmail.com,Pontificia Universidad Católica de Chile,Magnolia,United States,22-07-1996,06-04-2020,100
U-125,Brodicico,Alex,Neagu,Brodicico@iitd.ac.in,MădălinaC FanClub,Takahama,Japan,09-07-2003,22-10-2018,100
U-126,Whiplash99,Akash,Bhalotia,Whiplash99@hotmail.com,Manipal University Jaipur,Ermoupoli,Greece,01-11-1996,31-05-2020,100
U-127,balakrishnan,Balakrishnan,Varadarajan,balakrishnan@hotmail.com,National Cheng Kung U,Swansea,United States,22-07-1999,04-09-2018,100
U-128,DmitryLzr,Ammie,Priestly,DmitryLzr@iitd.ac.in,Dongying Experimental Middle School,Kirkop,Malta,11-02-2001,03-04-2018,100
U-129,I_love_Daria_Grekova,Mose,Jobst,I_love_Daria_Grekova@gmail.com,Daria Grekova Fan Club,Nitra,Slovakia,08-11-2000,24-10-2019,100
U-130,pavlovoleg4889,Not Oleg,Pavlov,pavlovoleg4889@iitd.ac.in,Starfleet,Anoixi,Greece,26-07-1983,21-01-2016,100
U-131,wildturtle,Mikha,Dadiani,wildturtle@yahoo.com,Mziuri,Juterbog,Germany,12-10-1982,06-02-2006,100
U-132,malygin,Gerri,Sova,malygin@iiitd.ac.in,cxaphoenix fan club,Worland,United States,10-08-2003,27-07-2020,100
U-133,FromGrayToRed,Carmina,Carlock,FromGrayToRed@gmail.com,cxaphoenix fan club,Tiksi,Russia,30-12-1985,06-11-1999,100
U-134,longcontest,Ji,Rothrock,longcontest@yahoo.com,AE high school,Gunnison,United States,02-03-1999,12-08-2016,100
U-135,cunzai_zsy0531,Siyuan,Zhao,cunzai_zsy0531@gmail.com,The Middle School Affiliated to SDU,Berane,Montenegro,28-09-1989,15-08-2018,100
U-136,Envil_Saintan,Alesia,Flanders,Envil_Saintan@iiitd.ac.in,Inha University,Butterworth,Malaysia,11-06-1987,30-12-2011,100
U-137,deepakrawat9,Deepak,Rawat,deepakrawat9@gmail.com,NIT Jalandhar,Korolev,Russia,09-07-1989,01-07-2004,100
U-138,syleeKR,Oren,Moree,syleeKR@hotmail.com,Rajshahi University of Engineering and Technology,Villa Diaz Ordaz,Mexico,27-04-1984,14-06-2015,100
U-139,daryll-ko,Daryll Carlsten,Ko,daryll-ko@iiitd.ac.in,Qingdao No.2 Middle School,Pereira Barreto,Brazil,14-04-1992,28-10-2012,100
U-140,RUI_R,Kamilah,Horvath,RUI_R@iiitd.ac.in,National Cheng Kung U,Ghajnsielem,Malta,15-09-2002,30-06-2019,100
U-141,akshaykumar99,Akshay,Kumar,akshaykumar99@hotmail.com,NIT Hamirpur,Woodlawn,United States,19-04-1982,24-08-2014,100
U-142,Resende,Faustina,Beck,Resende@gmail.com,Universidade Federal de Minas Gerais,Geiselhoring,Germany,05-06-1987,10-01-2001,100
U-143,Maezra6,Saul,Evangelista,Maezra6@iitd.ac.in,Zhoushan Senior-High,Vila Pouca de Aguiar,Portugal,05-08-1991,11-03-2006,100
U-144,Baylor_,Saul,Evangelista,Baylor_@iiitd.ac.in,Sanxin Bilingual School,Lecanto,United States,18-07-2004,28-01-2020,100
U-145,wish2lucky,Carly,Goering,wish2lucky@iiitd.ac.in,Dongying Experimental Middle School,Bukachacha,Russia,20-09-1994,12-03-2008,100
U-146,Real_Father_Of_Ash,Samuel,Oak,Real_Father_Of_Ash@iiitd.ac.in,Pallet Town Laboratory,Phayao,Thailand,23-11-1993,20-05-2008,100
U-147,potter2901,Noriko,Mosher,potter2901@hotmail.com,Wuhan University of Science and Technology,Midland,Canada,30-07-1984,19-08-2006,100
U-148,Uzumaki_Narutoo,Ahmed,Mohamed,Uzumaki_Narutoo@iitd.ac.in,FCIS Ain Shams University,Moss Bluff,United States,08-10-2000,21-05-2019,100
U-149,Crescent_Rose,Elidia,Stolp,Crescent_Rose@gmail.com,Harbin Engineering University,Geiselhoring,Germany,27-09-1996,01-05-2010,100
U-150,lxy666,Marcos,Spencer,lxy666@yahoo.com,Qingdao No.2 Middle School,Bauta,Cuba,09-04-2002,21-06-2015,100
U-151,smit.mangukiya,Smit,Mangukiya,smit.mangukiya@yahoo.com,DA-IICT,Novoaltaysk,Russia,30-12-1987,07-05-2005,100
U-152,Google.cpp,Abdul,Gallardo,Google.cpp@iiitd.ac.in,National Cheng Kung U,Portsmouth,United Kingdom,23-10-1989,22-07-2011,100
U-153,Karavaiev,Ivan,Karavaiev,Karavaiev@iiitd.ac.in,Kharkiv University of Economics,Grande Prairie,Canada,14-01-1987,31-05-2015,100
U-154,clfzs,Oma,Tomasini,clfzs@iitd.ac.in,Dongying Experimental Middle School,Zabalj,Serbia,06-05-1989,17-09-2015,100
U-155,nanocosmos,Oren,Moree,nanocosmos@yahoo.com,IIT Guwahati,Provideniya,Russia,04-08-1981,26-10-2001,100
U-156,david-ce,Kayce,Messinger,david-ce@gmail.com,AE high school,Gulf Shores,United States,10-09-1992,09-08-2019,100
U-157,CDEGA,Leonore,Cupples,CDEGA@iiitd.ac.in,cxaphoenix fan club,Campo Maior,Portugal,04-12-1984,10-08-2009,100
U-158,Littleface,Ammie,Priestly,Littleface@iitd.ac.in,HUS High School for Gifted Student,Madaba,Jordan,14-06-1987,02-09-2017,100
U-159,iromanagureev,Grace,Lesane,iromanagureev@iiitd.ac.in,Pontificia Universidad Católica de Chile,Jawhar,Somalia,13-03-1992,31-01-2017,100
U-160,brthyyjp,Ammie,Priestly,brthyyjp@iitd.ac.in,Zhoushan Senior-High,Neenah,United States,13-12-2003,05-02-2019,100
U-161,afentev,Kirill,Afentev,afentev@iiitd.ac.in,"Dolgoprudny, Phystech-liceum",Cadereyta Jimenez,Mexico,21-09-2000,31-03-2019,100
U-162,zhendelan,Grace,Lesane,zhendelan@gmail.com,Guangdong Experimental High School,Velikiy Novgorod,Russia,25-02-1997,12-10-2015,100
U-163,Lolboyyyy,Gunagya Singh,Mamak,Lolboyyyy@hotmail.com,Delhi Technological University,Karibib,Namibia,13-09-1984,13-06-2013,100
U-164,dontbotherme.fku,Carie,Gravatt,dontbotherme.fku@iitd.ac.in,HIAST,Maraba,Brazil,04-10-1996,19-06-2019,100
U-165,8421BCD,Wenhan,Liu,8421BCD@hotmail.com,Shandong University,Kirksville,United States,23-01-1984,12-08-1999,100
U-166,demonwings,Marchelle,Benites,demonwings@iitd.ac.in,FTU,Lutsk,Ukraine,25-06-1999,02-07-2013,100
U-167,Break_Zero,Tiffanie,Wain,Break_Zero@iitd.ac.in,THPT Chuyên Lê Quý Đôn,Todos Santos,Mexico,01-05-1998,23-08-2014,100
U-168,lmk123,Vivienne,Cordero,lmk123@gmail.com,German University in Cairo,Upper Nazareth,United States,17-01-1985,03-05-2001,100
U-169,cpt,Yvone,Esparza,cpt@hotmail.com,AE high school,Kirkcaldy,United Kingdom,24-07-1984,01-12-2016,100
U-170,swimmerstar,Fred,Zhang,swimmerstar@yahoo.com,Yale University,Pembroke,United States,23-01-1982,17-01-2000,100
U-171,Macho,Luka,Macharashvili,Macho@iiitd.ac.in,"BITS, Pilani",Karibib,Namibia,14-08-1981,20-04-1998,100
U-172,Heap_hop,Margart,Leith,Heap_hop@iiitd.ac.in,National Cheng Kung U,Cudahy,United States,17-05-1991,11-04-2008,100
U-173,LWLAymh,Romona,Fowler,LWLAymh@iitd.ac.in,HotaVN,Norwalk,United States,28-09-1992,02-08-2014,100
U-174,MaytaCapac,Gerri,Sova,MaytaCapac@iiitd.ac.in,DA-IICT,Bauta,Cuba,12-09-1998,02-06-2016,100
U-175,flashsonic,Rich,Wang,flashsonic@yahoo.com,Timothy Feng Fan-Club,Granada,Nicaragua,04-10-1988,05-10-2012,100
U-176,lleo,Mose,Jobst,lleo@iitd.ac.in,AE high school,Weingarten,Germany,30-03-1985,19-10-2014,100
U-177,nice_doggos,Mammie,Heintz,nice_doggos@yahoo.com,Pontificia Universidad Católica de Chile,Fengcheng,China,22-04-1982,30-04-2009,100
U-178,creampuffshu,Alesia,Flanders,creampuffshu@iitd.ac.in,Xidian University,San Rafael,Argentina,02-07-1988,19-12-2013,100
U-179,hiratai,Leonore,Cupples,hiratai@gmail.com,Timothy Feng Fan-Club,Nitra,Slovakia,01-10-1986,16-01-2017,100
U-180,KaladinStormblessed,Kaladin,stormblessed,KaladinStormblessed@hotmail.com,Pontificia Universidad Católica de Chile,Wandsworth,United Kingdom,17-04-1985,18-05-2007,100
U-181,snewptl,Latrina,Hearon,snewptl@yahoo.com,IIT Roorkee,Kirkcaldy,United Kingdom,30-11-1986,26-04-2003,100
U-182,SovietPower,Romona,Fowler,SovietPower@iiitd.ac.in,East China Normal University,Swansea,United States,06-02-1986,21-12-2018,100
U-183,noober123,Jackie,Swindell,noober123@yahoo.com,Anti-FOSS,Barnstable,United States,14-08-1988,25-06-2008,100
U-184,DoubleIce,Mammie,Heintz,DoubleIce@iiitd.ac.in,Zhoushan Senior-High,Balsas,Brazil,15-09-1985,26-05-2004,100
U-185,nakari1124,Herma,Baltes,nakari1124@iitd.ac.in,Dongying Experimental Middle School,Hamilton Square,United States,28-09-1986,04-12-2020,100
U-186,XDKalia,Marchelle,Benites,XDKalia@iiitd.ac.in,Kharkiv University of Economics,Arran-Elderslie,Canada,21-05-2004,15-06-2018,100
U-187,wjdghks97,Estrella,Tullius,wjdghks97@iitd.ac.in,Pontificia Universidad Católica de Chile,Espoo,Finland,31-10-2002,19-10-2018,100
U-188,CSQ31,Estrella,Tullius,CSQ31@iiitd.ac.in,ZS Fanclub,Kirkja,Faroe Islands,09-11-1983,29-11-1998,100
U-189,Zhabka,Carie,Gravatt,Zhabka@iitd.ac.in,"Arif, where is my key!?",Komijan,Iran,15-04-1994,28-10-2018,100
